#
# Items descriptions
#
# position 		function	flag 		minus_x 	plus_x		x_cor		y_cor		sprite		animation	when_run_anim	so_1		so_2

PP_LEFT_JAMB_O		P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CLASSIC_LEVEL + 61	0		0		0		0
PP_LEFT_JAMB_O+1	P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CLASSIC_LEVEL + 48	0		0		0		0
PP_LEFT_JAMB_O+2	P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CLASSIC_LEVEL + 75	0		0		0		0
PP_LEFT_JAMB_O+3	P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CYBER_LEVEL + 37 		0		0		0		0
PP_LEFT_JAMB_O+4	P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CYBER_LEVEL + 50		0		0		0		0
PP_LEFT_JAMB_O+5	P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CYBER_LEVEL + 81		0		0		0		0
PP_LEFT_JAMB_O+6	P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CYBER_LEVEL + 83		0		0		0		0
PP_LEFT_JAMB_O+7	P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CYBER_LEVEL + 85		0		0		0		0
PP_LEFT_JAMB_O+8	P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CYBER_LEVEL + 55 		0		0		0		0
PP_LEFT_JAMB_O+9	P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CYBER_LEVEL + 69		0		0		0		0

PP_LEFT_JAMB_Z		P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CLASSIC_LEVEL + 50	0		0		0		0
PP_LEFT_JAMB_Z+1	P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CYBER_LEVEL +29 		0		0		0		0
PP_LEFT_JAMB_Z+2	P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CYBER_LEVEL +33 		0		0		0		0
PP_LEFT_JAMB_Z+3	P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CYBER_LEVEL +34 		0		0		0		0
PP_LEFT_JAMB_Z+4	P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CYBER_LEVEL +35 		0		0		0		0
PP_LEFT_JAMB_Z+5	P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CYBER_LEVEL +36 		0		0		0		0
PP_LEFT_JAMB_Z+6	P_WALL		SPRITE_STATIC	0		0		-1		0		FIRST_CYBER_LEVEL +72 		0		0		0		0
 
PP_TOP_JAMB_O		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CLASSIC_LEVEL + 61	0		0		0		0
PP_TOP_JAMB_O+1		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CLASSIC_LEVEL + 48	0		0		0		0
PP_TOP_JAMB_O+2		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CLASSIC_LEVEL + 78	0		0		0		0
PP_TOP_JAMB_O+3		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CYBER_LEVEL + 45		0		0		0		0
PP_TOP_JAMB_O+4		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CYBER_LEVEL + 68		0		0		0		0
PP_TOP_JAMB_O+5		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CYBER_LEVEL + 61		0		0		0		0
PP_TOP_JAMB_O+6		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CYBER_LEVEL + 63		0		0		0		0
PP_TOP_JAMB_O+7		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CYBER_LEVEL + 65		0		0		0		0
PP_TOP_JAMB_O+8		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CYBER_LEVEL + 57		0		0		0		0
PP_TOP_JAMB_O+9		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CYBER_LEVEL + 75		0		0		0		0
  
PP_TOP_JAMB_Z		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CLASSIC_LEVEL + 50	0		0		0		0
PP_TOP_JAMB_Z+1		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CYBER_LEVEL + 41 		0		0		0		0
PP_TOP_JAMB_Z+2		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CYBER_LEVEL + 38 		0		0		0		0
PP_TOP_JAMB_Z+3		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CYBER_LEVEL + 42 		0		0		0		0
PP_TOP_JAMB_Z+4		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CYBER_LEVEL + 43 		0		0		0		0
PP_TOP_JAMB_Z+5		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CYBER_LEVEL + 44 		0		0		0		0
PP_TOP_JAMB_Z+6		P_WALL		SPRITE_STATIC	0		0		0		-1		FIRST_CYBER_LEVEL + 78 		0		0		0		0
  

#  *****************************************************************************
#  Jambs on the second (dark) side
#  *****************************************************************************
# position 		function 	flag		minus_x 	plus_x		x_cor		y_cor		sprite		animation	when_run_anim	so_1		so_2

PP_RIGHT_JAMB_O		P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CLASSIC_LEVEL + 63	0		0		0		0
PP_RIGHT_JAMB_O+1	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CLASSIC_LEVEL + 64	0		0		0		0
PP_RIGHT_JAMB_O+2	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CLASSIC_LEVEL + 65	0		0		0		0
PP_RIGHT_JAMB_O+3	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CLASSIC_LEVEL + 66	0		0		0		0
PP_RIGHT_JAMB_O+4	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CLASSIC_LEVEL + 67	0		0		0		0
PP_RIGHT_JAMB_O+5	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CLASSIC_LEVEL + 52	0		0		0		0
PP_RIGHT_JAMB_O+6	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CLASSIC_LEVEL + 55	0		0		0		0
PP_RIGHT_JAMB_O+7	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CLASSIC_LEVEL + 53	0		0		0		0
PP_RIGHT_JAMB_O+8	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CLASSIC_LEVEL + 54	0		0		0		0
PP_RIGHT_JAMB_O+9	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CLASSIC_LEVEL + 56	0		0		0		0
PP_RIGHT_JAMB_O+10	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CLASSIC_LEVEL + 77	0		0		0		0
PP_RIGHT_JAMB_O+11	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CYBER_LEVEL + 32 		0		0		0		0
PP_RIGHT_JAMB_O+12	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CYBER_LEVEL + 53 		0		0		0		0
PP_RIGHT_JAMB_O+13	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CYBER_LEVEL + 82 		0		0		0		0
PP_RIGHT_JAMB_O+14	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CYBER_LEVEL + 84 		0		0		0		0
PP_RIGHT_JAMB_O+15	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CYBER_LEVEL + 54 		0		0		0		0
PP_RIGHT_JAMB_O+16	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CYBER_LEVEL + 56 		0		0		0		0
PP_RIGHT_JAMB_O+17	P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CYBER_LEVEL + 71 		0		0		0		0
  
PP_RIGHT_JAMB_Z		P_WALL		SPRITE_STATIC	0		0		1		0		FIRST_CLASSIC_LEVEL + 80	0		0		0		0

#
#  Bottom jambs
#
# position 		function 	flag 		minus_x 	plus_x		x_cor		y_cor		sprite		animation	when_run_anim	so_1		so_2

PP_BOTTOM_JAMB_O	P_WALL		SPRITE_STATIC	0		0		0		1		FIRST_CLASSIC_LEVEL + 70	0		0		0		0
PP_BOTTOM_JAMB_O+1	P_WALL		SPRITE_STATIC	0		0		0		1		FIRST_CLASSIC_LEVEL + 71	0		0		0		0
PP_BOTTOM_JAMB_O+2	P_WALL		SPRITE_STATIC	0		0		0		1		FIRST_CLASSIC_LEVEL + 72	0		0		0		0
PP_BOTTOM_JAMB_O+3	P_WALL		SPRITE_STATIC	0		0		0		1		FIRST_CLASSIC_LEVEL + 73	0		0		0		0
PP_BOTTOM_JAMB_O+4	P_WALL		SPRITE_STATIC	0		0		0		1		FIRST_CLASSIC_LEVEL + 74	0		0		0		0
PP_BOTTOM_JAMB_O+5	P_WALL		SPRITE_STATIC	0		0		0		1		FIRST_CLASSIC_LEVEL + 52	0		0		0		0
PP_BOTTOM_JAMB_O+6	P_WALL		SPRITE_STATIC	0		0		0		1		FIRST_CLASSIC_LEVEL + 55	0		0		0		0
PP_BOTTOM_JAMB_O+7	P_WALL		SPRITE_STATIC	0		0		0		1		FIRST_CLASSIC_LEVEL + 53	0		0		0		0
PP_BOTTOM_JAMB_O+8	P_WALL		SPRITE_STATIC	0		0		0		1		FIRST_CLASSIC_LEVEL + 54	0		0		0		0
